player_id,player_name,team,league,position,minutes,goals,assists,rating,appearances,lineups,shots_total,shots_on,passes_total,passes_key,passes_accuracy,yellow_cards,red_cards,duels_total,duels_won,tackles_total
1,Alisson,Liverpool,Premier League,Goalkeeper,2250,0,0,6.84,25,25,0,0,0,0,0,0,0,0,0,0
2,Ederson,Fenerbahçe,Süper Lig,Goalkeeper,2132,0,0,7.0,24,24,0,0,0,0,0,0,0,0,0,0
3,Weverton,Grêmio,Brasileirão Série A,Goalkeeper,1440,0,0,7.18,16,16,0,0,0,0,0,0,0,0,0,0
4,Wesley,Roma,Serie A,Defender,2457,5,0,7.16,30,28,28,10,900,22,82,4,0,210,122,61
5,Gabriel Magalhães,Arsenal,Premier League,Defender,2706,3,4,7.35,31,30,26,9,1800,15,88,3,0,260,178,42
6,Bremer,Juventus,Serie A,Defender,2175,4,3,7.31,26,25,22,7,1400,8,86,5,0,240,161,44
7,Douglas Santos,Zenit,Premier League Russia,Defender,1920,1,0,7.27,24,22,14,4,1300,20,87,2,0,190,114,38
8,Marquinhos,PSG,Ligue 1,Defender,1049,0,0,6.88,17,12,4,1,850,3,90,1,0,100,68,20
9,Léo Pereira,Flamengo,Brasileirão Série A,Defender,1141,1,0,7.29,13,13,7,2,720,4,84,1,0,121,81,29
10,Alex Sandro,Flamengo,Brasileirão Série A,Defender,978,0,0,6.79,12,11,5,1,680,5,83,2,0,92,56,18
11,Bruno Guimarães,Newcastle,Premier League,Midfielder,2389,9,5,7.57,29,28,36,14,1700,44,86,7,0,310,184,71
12,Casemiro,Manchester United,Premier League,Midfielder,2588,9,2,7.32,31,30,30,9,1500,19,82,8,0,360,218,87
13,Danilo,Botafogo,Brasileirão Série A,Midfielder,1071,7,2,7.47,13,12,22,8,690,21,84,3,0,145,91,38
14,Fabinho,Al Ittihad,Saudi Pro League,Midfielder,2642,1,3,7.22,31,30,14,5,1600,12,87,5,0,342,201,79
15,Paquetá,Flamengo,Brasileirão Série A,Midfielder,738,3,0,7.33,9,8,13,5,510,16,85,2,0,89,52,21
16,Raphinha,Barcelona,LaLiga,Attacker,1388,13,3,7.77,23,17,55,30,690,41,78,4,0,151,71,19
17,Vini Jr,Real Madrid,LaLiga,Attacker,2825,16,5,7.65,34,33,72,41,1150,58,80,6,0,292,130,20
18,Igor Thiago,Brentford,Premier League,Attacker,3194,22,1,7.16,37,36,80,45,760,21,74,5,0,330,160,14
19,Matheus Cunha,Manchester United,Premier League,Attacker,2503,10,2,7.29,31,29,63,29,980,42,81,7,0,260,125,25
20,Neymar,Santos,Brasileirão Série A,Attacker,686,4,2,7.56,9,8,28,14,390,31,84,2,0,80,33,5
21,Endrick,Lyon,Ligue 1,Attacker,1222,5,7,7.39,24,14,31,16,460,25,79,3,0,141,64,9
22,Luiz Henrique,Zenit,Premier League Russia,Attacker,2035,5,3,7.22,28,23,43,19,720,35,78,5,0,210,91,18
23,Gabriel Martinelli,Arsenal,Premier League,Attacker,982,1,3,6.46,20,10,26,10,390,18,77,2,0,110,47,10
24,Rayan,Bournemouth,Premier League,Attacker,962,5,2,7.3,19,11,27,12,330,13,76,2,0,104,49,8
