team,base_strength,attack_score,midfield_score,defense_score,goalkeeper_score,recent_form_score,tournament_history_score,market_depth_score,confidence_score
France,94,96,93,92,91,90,94,95,0.92
Argentina,93,93,91,90,88,92,96,91,0.91
Brazil,92,94,90,88,90,86,93,92,0.88
England,91,92,91,87,86,89,86,94,0.89
Spain,90,88,92,89,85,90,91,88,0.88
Portugal,89,90,88,86,84,87,86,89,0.85
Germany,88,87,88,85,84,84,92,87,0.84
Netherlands,87,86,86,88,84,85,88,86,0.83
Uruguay,85,84,85,84,83,86,85,82,0.80
Croatia,84,82,86,83,82,82,90,80,0.78
Colombia,83,83,82,81,80,85,78,79,0.77
Morocco,82,80,81,83,82,83,82,77,0.76
Japan,80,79,81,78,79,84,75,76,0.74
Senegal,79,78,79,80,78,80,76,75,0.73
Mexico,78,77,78,76,77,78,77,76,0.72
United States,77,78,76,75,76,77,72,78,0.72
