group_stage,team,matches_played,matches_remaining,observed_points,projected_points,projected_total_points,observed_goal_difference,projected_goal_difference,projected_total_goal_difference
Group A,Mexico,2.0,1.0,6.0,3.0,9.0,3.0,0.2999999999999998,3.3
Group A,South Korea,2.0,1.0,3.0,3.0,6.0,0.0,0.09999999999999987,0.09999999999999987
Group A,Czechia,2.0,1.0,1.0,0.0,1.0,-1.0,-0.2999999999999998,-1.2999999999999998
Group A,South Africa,2.0,1.0,1.0,0.0,1.0,-2.0,-0.09999999999999987,-2.0999999999999996
Group B,Canada,2.0,1.0,4.0,3.0,7.0,6.0,0.19999999999999996,6.2
Group B,Switzerland,2.0,1.0,4.0,0.0,4.0,3.0,-0.19999999999999996,2.8
Group B,Bosnia-Herzegovina,2.0,1.0,1.0,3.0,4.0,-3.0,0.5,-2.5
Group B,Qatar,2.0,1.0,1.0,0.0,1.0,-6.0,-0.5,-6.5
Group C,Brazil,2.0,1.0,4.0,3.0,7.0,3.0,0.5,3.5
Group C,Morocco,2.0,1.0,4.0,3.0,7.0,1.0,0.8,1.8
Group C,Scotland,2.0,1.0,3.0,0.0,3.0,0.0,-0.5,-0.5
Group C,Haiti,2.0,1.0,0.0,0.0,0.0,-4.0,-0.8,-4.8
Group D,United States,2.0,1.0,6.0,3.0,9.0,5.0,0.9,5.9
Group D,Australia,2.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0
Group D,Paraguay,2.0,1.0,3.0,1.0,4.0,-2.0,0.0,-2.0
Group D,Türkiye,2.0,1.0,0.0,0.0,0.0,-3.0,-0.9,-3.9
Group E,Germany,1.0,2.0,3.0,6.0,9.0,6.0,3.4999999999999996,9.5
Group E,Ivory Coast,1.0,2.0,3.0,3.0,6.0,1.0,-1.3999999999999997,-0.3999999999999997
Group E,Ecuador,1.0,2.0,0.0,3.0,3.0,-1.0,-1.4999999999999998,-2.5
Group E,Curaçao,1.0,2.0,0.0,0.0,0.0,-6.0,-0.6000000000000001,-6.6
Group F,Netherlands,2.0,1.0,4.0,3.0,7.0,4.0,0.8,4.8
Group F,Sweden,2.0,1.0,3.0,3.0,6.0,0.0,0.20000000000000018,0.20000000000000018
Group F,Japan,1.0,2.0,1.0,3.0,4.0,0.0,0.09999999999999987,0.09999999999999987
Group F,Tunisia,1.0,2.0,0.0,0.0,0.0,-4.0,-1.1,-5.1
Group G,New Zealand,1.0,2.0,1.0,6.0,7.0,0.0,0.9000000000000001,0.9000000000000001
Group G,Iran,1.0,2.0,1.0,6.0,7.0,0.0,0.40000000000000013,0.40000000000000013
Group G,Egypt,1.0,2.0,1.0,0.0,1.0,0.0,-0.5000000000000002,-0.5000000000000002
Group G,Belgium,1.0,2.0,1.0,0.0,1.0,0.0,-0.8,-0.8
Group H,Uruguay,1.0,2.0,1.0,6.0,7.0,0.0,0.6,0.6
Group H,Spain,1.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0
Group H,Saudi Arabia,1.0,2.0,1.0,1.0,2.0,0.0,-0.19999999999999996,-0.19999999999999996
Group H,Cape Verde,1.0,2.0,1.0,1.0,2.0,0.0,-0.4,-0.4
Group I,France,1.0,2.0,3.0,6.0,9.0,2.0,1.2,3.2
Group I,Norway,1.0,2.0,3.0,3.0,6.0,3.0,0.7000000000000002,3.7
Group I,Senegal,1.0,2.0,0.0,3.0,3.0,-2.0,-0.6000000000000001,-2.6
Group I,Iraq,1.0,2.0,0.0,0.0,0.0,-3.0,-1.3,-4.3
Group J,Argentina,1.0,2.0,3.0,6.0,9.0,3.0,1.2,4.2
Group J,Austria,1.0,2.0,3.0,3.0,6.0,2.0,0.09999999999999987,2.0999999999999996
Group J,Jordan,1.0,2.0,0.0,3.0,3.0,-2.0,-0.40000000000000013,-2.4000000000000004
Group J,Algeria,1.0,2.0,0.0,0.0,0.0,-3.0,-0.8999999999999997,-3.8999999999999995
Group K,Colombia,1.0,2.0,3.0,6.0,9.0,2.0,1.4,3.4
Group K,Portugal,1.0,2.0,1.0,3.0,4.0,0.0,-0.20000000000000018,-0.20000000000000018
Group K,Congo DR,1.0,2.0,1.0,3.0,4.0,0.0,-0.5999999999999999,-0.5999999999999999
Group K,Uzbekistan,1.0,2.0,0.0,0.0,0.0,-2.0,-0.5999999999999999,-2.5999999999999996
Group L,England,1.0,2.0,3.0,6.0,9.0,2.0,1.8,3.8
Group L,Croatia,1.0,2.0,0.0,6.0,6.0,-2.0,0.6000000000000001,-1.4
Group L,Ghana,1.0,2.0,3.0,0.0,3.0,1.0,-1.2000000000000002,-0.20000000000000018
Group L,Panama,1.0,2.0,0.0,0.0,0.0,-1.0,-1.2,-2.2
