team,matches_played,observed_points,projected_points,forecast_total_points,observed_goals_for,projected_goals_for,forecast_total_goals_for,observed_cards_for,projected_cards_for,forecast_total_cards_for,observed_fouls_for,projected_fouls_for,forecast_total_fouls_for
Germany,1,3,6.0,9.0,7,5.6,12.6,0,1.2,1.2,18,21.2,39.2
England,1,3,6.0,9.0,4,4.1,8.1,0,1.2,1.2,10,14.4,24.4
United States,2,6,3.0,9.0,6,1.8,7.8,0,0.8,0.8,25,9.2,34.2
France,1,3,6.0,9.0,3,4.1,7.1,0,1.2,1.2,5,11.0,16.0
Argentina,1,3,6.0,9.0,3,3.8,6.8,0,1.2,1.2,13,17.0,30.0
Colombia,1,3,6.0,9.0,3,3.7,6.7,0,1.4,1.4,11,15.4,26.4
Mexico,2,6,3.0,9.0,3,1.4,4.4,0,0.7,0.7,21,8.3,29.3
Netherlands,2,4,3.0,7.0,7,2.1,9.1,0,0.9,0.9,16,6.4,22.4
Canada,2,4,3.0,7.0,7,1.9,8.9,0,0.7,0.7,19,7.7,26.7
Brazil,2,4,3.0,7.0,4,1.5,5.5,0,0.7,0.7,29,10.1,39.1
New Zealand,1,1,6.0,7.0,2,3.2,5.2,0,1.2,1.2,8,14.0,22.0
Iran,1,1,6.0,7.0,2,3.0,5.0,0,1.6,1.6,10,16.2,26.2
Morocco,2,4,3.0,7.0,2,1.5,3.5,0,0.6,0.6,22,8.5,30.5
Uruguay,1,1,6.0,7.0,1,2.5,3.5,0,1.2,1.2,6,11.8,17.8
Sweden,2,3,3.0,6.0,6,2.1,8.1,0,0.6,0.6,22,8.3,30.3
Norway,1,3,3.0,6.0,4,3.8,7.8,0,1.2,1.2,13,17.8,30.8
Austria,1,3,3.0,6.0,3,3.0999999999999996,6.1,0,1.6,1.6,12,17.4,29.4
Croatia,1,0,6.0,6.0,2,3.1,5.1,0,1.2,1.2,12,16.6,28.6
Ivory Coast,1,3,3.0,6.0,1,2.7,3.7,0,2.7,2.7,10,15.899999999999999,25.9
South Korea,2,3,3.0,6.0,2,1.2,3.2,0,0.8,0.8,16,7.3,23.3
Switzerland,2,4,0.0,4.0,5,1.7,6.7,0,0.6,0.6,18,7.5,25.5
Japan,1,1,3.0,4.0,2,3.5999999999999996,5.6,0,1.2,1.2,7,12.4,19.4
Portugal,1,1,3.0,4.0,1,2.7,3.7,0,2.6,2.6,9,14.5,23.5
Bosnia-Herzegovina,2,1,3.0,4.0,2,1.6,3.6,0,1.2,1.2,38,12.8,50.8
Congo DR,1,1,3.0,4.0,1,2.5,3.5,0,1.7000000000000002,1.7000000000000002,10,16.0,26.0
Australia,2,3,1.0,4.0,2,1.3,3.3,0,0.9,0.9,28,10.4,38.4
Paraguay,2,3,1.0,4.0,2,1.3,3.3,0,1.3,1.3,32,11.4,43.4
Spain,1,1,3.0,4.0,0,2.2,2.2,0,1.6,1.6,10,15.7,25.7
Senegal,1,0,3.0,3.0,1,2.7,3.7,0,1.2,1.2,9,14.600000000000001,23.6
Jordan,1,0,3.0,3.0,1,2.5999999999999996,3.5999999999999996,0,1.2,1.2,7,13.5,20.5
Ghana,1,3,0.0,3.0,1,2.5,3.5,0,1.7000000000000002,1.7000000000000002,9,15.2,24.2
Ecuador,1,0,3.0,3.0,0,2.5,2.5,0,1.7000000000000002,1.7000000000000002,13,19.1,32.1
Scotland,2,3,0.0,3.0,1,1.0,2.0,0,0.9,0.9,32,11.6,43.6
Saudi Arabia,1,1,1.0,2.0,1,2.1,3.1,0,1.8,1.8,11,17.1,28.1
Cape Verde,1,1,1.0,2.0,0,2.0,2.0,0,1.8,1.8,1,10.0,11.0
Egypt,1,1,0.0,1.0,1,2.5999999999999996,3.5999999999999996,0,2.2,2.2,15,20.1,35.1
Belgium,1,1,0.0,1.0,1,2.3,3.3,0,2.2,2.2,15,20.299999999999997,35.3
Czechia,2,1,0.0,1.0,2,1.1,3.1,0,0.6,0.6,28,10.6,38.6
Qatar,2,1,0.0,1.0,1,1.1,2.1,0,1.2,1.2,22,8.9,30.9
South Africa,2,1,0.0,1.0,1,1.1,2.1,0,1.4,1.4,21,8.9,29.9
Tunisia,1,0,0.0,0.0,1,2.7,3.7,0,1.6,1.6,8,14.3,22.3
Curaçao,1,0,0.0,0.0,1,2.5,3.5,0,1.2,1.2,11,17.700000000000003,28.700000000000003
Iraq,1,0,0.0,0.0,1,2.4000000000000004,3.4000000000000004,0,1.7000000000000002,1.7000000000000002,12,17.700000000000003,29.700000000000003
Uzbekistan,1,0,0.0,0.0,1,2.3,3.3,0,1.8,1.8,14,19.5,33.5
Panama,1,0,0.0,0.0,0,2.3,2.3,0,2.4,2.4,11,17.4,28.4
Algeria,1,0,0.0,0.0,0,2.2,2.2,0,1.2,1.2,8,14.6,22.6
Türkiye,2,0,0.0,0.0,0,0.9,0.9,0,0.7,0.7,18,8.0,26.0
Haiti,2,0,0.0,0.0,0,0.7,0.7,0,1.0,1.0,37,13.3,50.3
