team,matches_played,wins,draws,losses,goals_for,goals_against,shots_for,cards_for,fouls_for,goal_difference,points
France,4,4,0,0,13,2,73,1,38,11,12
Mexico,4,4,0,0,8,0,50,3,44,8,12
Spain,4,3,1,0,8,0,78,2,42,8,10
Brazil,4,3,1,0,9,2,60,7,44,7,10
England,4,3,1,0,8,3,74,3,47,5,10
Argentina,3,3,0,0,8,1,34,2,33,7,9
United States,4,3,0,1,10,4,52,6,45,6,9
Norway,4,3,0,1,10,8,44,2,42,2,9
Netherlands,4,2,2,0,11,5,46,3,44,6,8
Belgium,4,2,2,0,9,4,92,6,51,5,8
Morocco,4,2,2,0,7,4,59,2,47,3,8
Germany,4,2,1,1,11,5,74,4,51,6,7
Canada,4,2,1,1,9,3,70,7,48,6,7
Switzerland,3,2,1,0,7,3,45,3,37,4,7
Colombia,3,2,1,0,4,1,59,4,35,3,7
Ivory Coast,4,2,0,2,5,4,45,4,29,1,6
Croatia,3,2,0,1,5,5,24,2,33,0,6
Portugal,3,1,2,0,6,1,37,4,29,5,5
Japan,4,1,2,1,8,5,34,4,55,3,5
Egypt,3,1,2,0,5,3,48,6,34,2,5
Paraguay,4,1,2,1,3,5,30,11,53,-2,5
Congo DR,4,1,1,2,5,5,41,6,44,0,4
Australia,3,1,1,1,2,2,26,5,34,0,4
Ghana,3,1,1,1,2,2,15,3,46,0,4
Algeria,3,1,1,1,5,7,36,1,17,-2,4
Ecuador,4,1,1,2,2,4,53,9,49,-2,4
South Africa,4,1,1,2,2,4,39,7,38,-2,4
Sweden,4,1,1,2,7,10,48,5,43,-3,4
Austria,4,1,1,2,6,9,32,5,47,-3,4
Bosnia-Herzegovina,4,1,1,2,5,8,37,9,60,-3,4
Senegal,4,1,0,3,10,9,69,3,36,1,3
Iran,3,0,3,0,3,3,37,6,35,0,3
Cape Verde,3,0,3,0,2,2,33,4,15,0,3
South Korea,3,1,0,2,2,3,32,4,25,-1,3
Türkiye,3,1,0,2,3,5,71,3,31,-2,3
Scotland,3,1,0,2,1,4,29,5,42,-3,3
Uruguay,3,0,2,1,3,4,49,6,31,-1,2
Saudi Arabia,3,0,2,1,1,5,17,6,29,-4,2
Czechia,3,0,1,2,2,6,34,1,37,-4,1
New Zealand,3,0,1,2,4,10,31,4,32,-6,1
Qatar,3,0,1,2,2,10,17,6,36,-8,1
Curaçao,3,0,1,2,1,9,29,7,32,-8,1
Panama,3,0,0,3,0,4,32,5,46,-4,0
Jordan,3,0,0,3,3,8,24,4,31,-5,0
Haiti,3,0,0,3,2,8,31,7,55,-6,0
Uzbekistan,3,0,0,3,2,11,18,4,45,-9,0
Tunisia,3,0,0,3,2,12,18,1,27,-10,0
Iraq,3,0,0,3,1,12,21,5,27,-11,0
