team,strength_rating,projected_total_points,projected_total_goals_for,projected_stage,title_probability,title_probability_pct,final_probability_pct,semifinal_probability_pct
France,92.71,12.0,13.0,1.0,0.162814692548098,16.3,19.5,29.3
Mexico,79.43,12.0,8.0,0.62,0.0922341465104105,9.2,9.1,13.6
Brazil,90.16,10.0,9.0,1.0,0.09158685094416401,9.2,11.0,16.5
Spain,88.8,10.0,8.0,0.79,0.07707868849279959,7.7,8.4,12.5
England,89.37,10.0,8.0,0.22,0.05807315181006635,5.8,4.5,6.6
United States,78.81,9.0,10.0,0.62,0.05593938494170374,5.6,5.5,8.3
Argentina,91.29,9.0,8.0,0.22,0.04811472967657481,4.8,3.7,5.5
Netherlands,86.15,8.0,11.0,0.18,0.041748521326156016,4.2,3.1,4.6
Norway,74.0,9.0,10.0,0.22,0.041649624069280994,4.2,3.2,4.7
Germany,86.62,7.0,11.0,0.18,0.03320672029104317,3.3,2.5,3.7
Morocco,82.26,8.0,7.0,0.22,0.030848948809177955,3.1,2.4,3.5
Belgium,74.0,8.0,9.0,0.22,0.03071243393257457,3.1,2.4,3.5
Canada,74.0,7.0,9.0,0.62,0.03071243393257457,3.1,3.0,4.5
Switzerland,74.0,7.0,7.0,0.22,0.020493034315805056,2.0,1.6,2.3
Colombia,82.64,7.0,4.0,0.22,0.019223351444387762,1.9,1.5,2.2
Croatia,83.88,6.0,5.0,0.22,0.016013945882886904,1.6,1.2,1.8
Portugal,87.41,5.0,6.0,0.22,0.013873939976525269,1.4,1.1,1.6
Japan,80.84,5.0,8.0,0.18,0.013866851775311396,1.4,1.0,1.5
Ivory Coast,74.0,6.0,5.0,0.18,0.012667877408973191,1.3,0.9,1.4
Egypt,74.0,5.0,5.0,0.22,0.009488468420426707,0.9,0.7,1.1
Senegal,80.24,3.0,10.0,0.18,0.008587249892902797,0.9,0.6,0.9
Paraguay,74.0,5.0,3.0,0.22,0.007866470321782846,0.8,0.6,0.9
Sweden,74.0,4.0,7.0,0.18,0.007866470321782846,0.8,0.6,0.9
Austria,74.0,4.0,6.0,0.18,0.007138298538546765,0.7,0.5,0.8
Algeria,74.0,4.0,5.0,0.22,0.00670202740694884,0.7,0.5,0.8
Bosnia-Herzegovina,74.0,4.0,5.0,0.18,0.006461889700331947,0.6,0.5,0.7
Congo DR,74.0,4.0,5.0,0.18,0.006461889700331947,0.6,0.5,0.7
Australia,74.0,4.0,2.0,0.22,0.004908321489660141,0.5,0.4,0.6
Ghana,74.0,4.0,2.0,0.22,0.004908321489660141,0.5,0.4,0.6
Ecuador,74.0,4.0,2.0,0.18,0.0047184211806225495,0.5,0.4,0.5
South Africa,74.0,4.0,2.0,0.18,0.0047184211806225495,0.5,0.4,0.5
Iran,74.0,3.0,3.0,0.18,0.0035013041346711824,0.4,0.3,0.4
Türkiye,74.0,3.0,3.0,0.18,0.0035013041346711824,0.4,0.3,0.4
Cape Verde,74.0,3.0,2.0,0.22,0.0032467729733504976,0.3,0.3,0.4
South Korea,74.0,3.0,2.0,0.18,0.00310770802506994,0.3,0.2,0.3
Uruguay,84.54,2.0,3.0,0.18,0.003107195092634926,0.3,0.2,0.3
Scotland,74.0,3.0,1.0,0.18,0.002748267700718883,0.3,0.2,0.3
Saudi Arabia,74.0,2.0,1.0,0.18,0.0016975502355832794,0.2,0.1,0.2
New Zealand,74.0,1.0,4.0,0.18,0.001550484420745324,0.2,0.1,0.2
Czechia,74.0,1.0,2.0,0.18,0.001149833086700782,0.1,0.1,0.1
Qatar,74.0,1.0,2.0,0.18,0.001149833086700782,0.1,0.1,0.1
Curaçao,74.0,1.0,1.0,0.18,0.0009814960925083748,0.1,0.1,0.1
Jordan,74.0,0.0,3.0,0.18,0.0007467473587639003,0.1,0.1,0.1
Haiti,74.0,0.0,2.0,0.18,0.0006257752907800976,0.1,0.0,0.1
Tunisia,74.0,0.0,2.0,0.18,0.0006257752907800976,0.1,0.0,0.1
Uzbekistan,74.0,0.0,2.0,0.18,0.0006257752907800976,0.1,0.0,0.1
Iraq,74.0,0.0,1.0,0.18,0.0005201329626333372,0.1,0.0,0.1
Panama,74.0,0.0,0.0,0.18,0.00042846709077360134,0.0,0.0,0.0
