player_name,team,position,current_goals,goal_share_pct,projected_additional_goals,projected_total_goals
Lionel Messi,Argentina,Forward,6.0,53.95189003436426,0.0,6.0
Kylian Mbappé,France,Forward,6.0,35.88643116540113,0.0,6.0
Harry Kane,England,Forward,5.0,36.73026886383348,0.0,5.0
Erling Haaland,Norway,Forward,5.0,39.02325581395349,0.0,5.0
Vinícius Júnior,Brazil,Forward,4.0,32.98186419232391,0.0,4.0
Ousmane Dembélé,France,Forward,4.0,20.03961703532519,0.0,4.0
Ismaïla Sarr,Senegal,Forward,4.0,26.884422110552762,0.0,4.0
Matheus Cunha,Brazil,Forward,3.0,21.50991142977647,0.0,3.0
Jonathan David,Canada,Forward,3.0,24.532312925170068,0.0,3.0
Yoane Wissa,Congo DR,Forward,3.0,31.506849315068493,0.0,3.0
Deniz Undav,Germany,Forward,3.0,18.06233571160346,0.0,3.0
Kai Havertz,Germany,Forward,3.0,21.667292527224934,0.0,3.0
Julián Quiñones,Mexico,Forward,3.0,26.242236024844722,0.0,3.0
Ismael Saibari,Morocco,Midfielder,3.0,21.8937875751503,0.0,3.0
Brian Brobbey,Netherlands,Forward,3.0,18.69953251168721,0.0,3.0
Cody Gakpo,Netherlands,Forward,3.0,23.034424139396513,0.0,3.0
Elijah Just,New Zealand,Forward,3.0,36.85376661742984,0.0,3.0
Johan Manzambi,Switzerland,Midfielder,3.0,24.729960204661737,0.0,3.0
Folarin Balogun,United States,Forward,3.0,23.991726990692868,0.0,3.0
Riyad Mahrez,Algeria,Forward,2.0,24.18062636562272,0.0,2.0
Marko Arnautovic,Austria,Forward,2.0,27.70885028949545,0.0,2.0
Leandro Trossard,Belgium,Forward,2.0,14.924712134632417,0.0,2.0
Romelu Lukaku,Belgium,Forward,2.0,13.773250664304696,0.0,2.0
Youri Tielemans,Belgium,Midfielder,2.0,14.924712134632417,0.0,2.0
Ermin Mahmic,Bosnia-Herzegovina,Midfielder,2.0,20.839064649243465,0.0,2.0
